domain_tax,phylum_tax,class_tax,order_tax,family_tax,subfamily,otu_id,rep_prokMSA_id,rep_acc,taxa_string,rep_prokMSAname,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk_10,wk_11,wk_12,wk_13,wk_14,wk_15,wk_16,wk_17
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6356,69818,AF523985.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6356,forested wetland clone FW47,1514,1872,1354,2833,1878,2041,1800,1478,1555,1339,1957,2026,1620,1714,1542,1983,1485
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6364,112288,AY234728.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6364,Solibacter usitatus Ellin6076,2671,3484,2736,3346,2870,3586,3729,3075,3472,2177,4723,4298,3754,4346,2771,4597,3144
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6366,45591,AJ292578.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6366,PCB-polluted soil clone WD228,3341,3404,2834,3130,2851,3759,5340,4680,4502,2801,4987,5073,3345,3937,2606,4390,2650
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6368,16327,AF200698.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6368,soil clone UA2,4396,4331,4009,3737,4052,4435,6150,5613,5775,3421,6210,6111,3973,4691,3235,5270,3227
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6378,3704,D26171.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6378,Acidobacterium capsulatum,2902,2855,2432,3205,2231,3261,4138,3590,3507,2514,3890,4227,2986,3356,2354,3918,2455
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6405,74896,AJ534632.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6405,soil sample uranium mining waste pile near town Johanngeorgenstadt clone JG36-TzT-31 bacterium,1899,1878,1556,2564,1327,2345,2002,1291,1543,1283,1480,1887,1785,1599,1709,1786,1686
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6407,84133,AY242653.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6407,soil clone Tc120-F03,2987,3099,2747,3379,2928,3273,4266,3947,3662,2395,4274,4176,3043,3401,2424,3746,2518
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6410,63318,AF523899.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6410,forested wetland clone RCP2-102,3873,3720,3283,3752,3429,4027,5364,5031,4906,3067,4996,5334,3756,4217,2859,4467,3085
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6412,3735,AF047646.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6412,acid mine drainage clone TRB82,2601,2714,2288,3103,2279,3121,4115,3640,3035,2106,3615,3857,2534,2997,2092,3640,2161
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6421,38048,AJ292576.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6421,PCB-polluted soil clone WD217,3722,3637,3341,3729,3344,4224,5228,4804,4456,2998,5177,5051,3844,4325,3023,4674,3123
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6424,77390,AF524859.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6424,sphagnum peat bog clone K-5b10,3664,3347,3103,3179,2705,4011,5109,4291,4318,2887,4617,4747,3284,3826,2617,4376,2723
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6425,60581,AF407719.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6425,Great Artesian Basin clone B27,2360,2752,2217,2982,2391,3368,2991,2833,2952,2059,3632,3576,3049,3271,2367,3546,2710
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,89,75679,AJ519368.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;89,uranium mining waste pile clone JG37-AG-31 sp.,2818,2933,2644,3212,2207,3310,3895,4054,3453,2237,4124,3918,3023,3384,2449,3674,2605
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,964,77004,AJ519392.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;964,uranium mining waste pile clone JG37-AG-145 sp.,3041,3210,2760,3404,2387,3733,4637,4804,3808,2658,4490,4511,3297,3690,2798,4101,2873
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,994,77025,AJ519389.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;994,uranium mining waste pile clone JG37-AG-117 sp.,2851,3052,2651,3286,2380,3397,4052,4139,3580,2464,4302,4034,3138,3495,2613,3820,2759
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_16,6414,61819,AF529350.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_16;6414,PCE-contaminated site clone CLs73,2552,2504,2108,2696,2792,3403,3058,2695,2827,2098,3126,3323,2980,3091,2222,3435,2349
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_6,6345,76368,AJ534634.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_6;6345,soil sample uranium mining waste pile near town Johanngeorgenstadt clone JG36-TzT-77 bacterium,2537,2832,2342,3239,2950,3604,3140,2994,2817,2371,3507,3505,3152,3238,2537,3736,2558
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_6,6359,61838,AF529322.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_6;6359,PCE-contaminated site clone CLi114,2169,2437,2027,2838,2796,3326,2278,2024,2035,2041,2512,2570,2659,2581,2316,2995,2251
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_6,6362,3732,Y07646.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_6;6362,grassland soil clone DA052,2112,2025,1870,2547,2614,3352,2215,1726,2060,1975,2139,2454,2588,2387,2191,2915,2094
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_6,6423,56406,AF523979.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_6;6423,coal effluent wetland clone FW92,2713,2757,2344,3197,3196,3599,2739,2089,2556,2169,2900,2961,2915,2842,2488,3383,2420
Bacteria,Acidobacteria,Acidobacteria-10,Unclassified,Unclassified,sf_1,516,76459,AJ532721.1,Bacteria;Acidobacteria;Acidobacteria-10;Unclassified;Unclassified;sf_1;516,uranium mining waste pile clone JG34-KF-153,2383,2768,2478,3297,2571,3312,3968,3947,3654,2427,4247,4295,2967,3359,2412,3775,2503
Bacteria,Acidobacteria,Acidobacteria-4,Ellin6075/11-25,Unclassified,sf_1,435,81698,AY211077.1,Bacteria;Acidobacteria;Acidobacteria-4;Ellin6075/11-25;Unclassified;sf_1;435,anaerobic VC-degrading enrichment clone VC47 bacterium,1361,1425,1338,1890,511,2277,1717,1374,1304,1355,1334,1773,1602,1341,1496,1658,1655
Bacteria,Acidobacteria,Acidobacteria-4,Ellin6075/11-25,Unclassified,sf_1,790,1749,Z95709.1,Bacteria;Acidobacteria;Acidobacteria-4;Ellin6075/11-25;Unclassified;sf_1;790,soil clone 11-25,659,963,1063,1099,362,2220,650,690,741,980,700,1079,1241,660,1193,970,1583
Bacteria,Acidobacteria,Acidobacteria-4,Ellin6075/11-25,Unclassified,sf_1,87,1776,AF097766.1,Bacteria;Acidobacteria;Acidobacteria-4;Ellin6075/11-25;Unclassified;sf_1;87,sludge clone 2951,1372,1587,1419,2094,760,2563,1080,910,1103,1286,1146,1576,1624,1068,1562,1418,1835
Bacteria,Acidobacteria,Acidobacteria-4,Unclassified,Unclassified,sf_1,6348,3692,Z95722.1,Bacteria;Acidobacteria;Acidobacteria-4;Unclassified;Unclassified;sf_1;6348,soil clone RB41,1950,1959,1573,2241,1222,2657,2844,2650,2618,1816,2872,2987,2365,2508,1871,2803,1977
Bacteria,Acidobacteria,Acidobacteria-4,Unclassified,Unclassified,sf_1,6363,3686,Z95711.1,Bacteria;Acidobacteria;Acidobacteria-4;Unclassified;Unclassified;sf_1;6363,soil clone 32-11,2137,2476,2214,2217,1354,2592,2844,3146,2878,1793,3239,3094,2417,2408,2087,2870,2158
Bacteria,Acidobacteria,Acidobacteria-5,Unclassified,Unclassified,sf_1,523,44004,AF245036.1,Bacteria;Acidobacteria;Acidobacteria-5;Unclassified;Unclassified;sf_1;523,soil metagenomic library clone 17F9,3428,3748,3239,3559,4037,4129,5546,5569,4719,3223,5265,5145,3803,4299,3047,4844,3295
Bacteria,Acidobacteria,Acidobacteria-6,Unclassified,Unclassified,sf_1,1049,1828,AF013534.2,Bacteria;Acidobacteria;Acidobacteria-6;Unclassified;Unclassified;sf_1;1049,soil clone C112,3295,3434,2935,3659,2609,3880,5201,5512,4164,2817,4751,4834,3447,3814,2850,4349,3037
Bacteria,Acidobacteria,Acidobacteria-6,Unclassified,Unclassified,sf_1,13,76504,AJ534637.1,Bacteria;Acidobacteria;Acidobacteria-6;Unclassified;Unclassified;sf_1;13,soil sample uranium mining waste pile near town Johanngeorgenstadt clone JG36-TzT-202 bacterium,2916,3075,2778,3240,2402,3404,4184,4396,3716,2351,4398,4175,3130,3541,2525,3870,2709
Bacteria,Acidobacteria,Acidobacteria-6,Unclassified,Unclassified,sf_1,350,85443,AY221047.1,Bacteria;Acidobacteria;Acidobacteria-6;Unclassified;Unclassified;sf_1;350,Mammoth cave clone CCM15a,2507,1975,2513,2897,2186,3233,3025,3006,2086,1879,2680,2947,2588,3237,2396,2698,2144
Bacteria,Acidobacteria,Acidobacteria-6,Unclassified,Unclassified,sf_1,37,83207,AY214904.2,Bacteria;Acidobacteria;Acidobacteria-6;Unclassified;Unclassified;sf_1;37,soil clone BAC-14A1,3168,3267,3017,3317,2531,3590,4259,4406,3930,2461,4551,4325,3265,3655,2658,3968,2782
Bacteria,Acidobacteria,Acidobacteria-6,Unclassified,Unclassified,sf_1,500,1854,Z95717.1,Bacteria;Acidobacteria;Acidobacteria-6;Unclassified;Unclassified;sf_1;500,soil clone RB24,2628,3026,2666,2923,3246,3330,4200,4154,3527,2643,4275,4065,3110,3423,2592,3789,2803
Bacteria,Acidobacteria,Acidobacteria-6,Unclassified,Unclassified,sf_1,53,31800,Z95728.1,Bacteria;Acidobacteria;Acidobacteria-6;Unclassified;Unclassified;sf_1;53,Holophaga/Acidobacterium phylum clone iii1-15,3049,3054,2819,3084,2472,3432,3925,4012,3597,2366,4313,3968,3168,3447,2623,3711,2710
Bacteria,Acidobacteria,Acidobacteria-6,Unclassified,Unclassified,sf_1,642,22391,Z95710.1,Bacteria;Acidobacteria;Acidobacteria-6;Unclassified;Unclassified;sf_1;642,Holophaga/Acidobacterium phylum clone 32-10,2796,2892,2604,3107,2290,3238,3905,3863,3393,2230,4048,3798,3031,3267,2411,3585,2586
Bacteria,Acidobacteria,Acidobacteria-6,Unclassified,Unclassified,sf_1,66,75652,AJ532720.1,Bacteria;Acidobacteria;Acidobacteria-6;Unclassified;Unclassified;sf_1;66,uranium mining waste pile clone JG34-KF-135,2722,2869,2566,3099,2265,3183,3607,3590,3287,2188,3885,3611,2923,3118,2410,3421,2547
Bacteria,Acidobacteria,Acidobacteria-6,Unclassified,Unclassified,sf_1,834,71241,AF280856.1,Bacteria;Acidobacteria;Acidobacteria-6;Unclassified;Unclassified;sf_1;834,bioreactor clone mle1-25,3162,3160,2524,3617,2772,3902,4131,3402,2966,2822,3894,3980,3453,3259,2860,3856,3090
Bacteria,Acidobacteria,Acidobacteria-6,Unclassified,Unclassified,sf_1,897,84221,AY221071.1,Bacteria;Acidobacteria;Acidobacteria-6;Unclassified;Unclassified;sf_1;897,Mammoth cave clone CCM8b,3784,3839,3459,3800,3169,4278,4966,5093,4490,3121,5336,4875,3867,4230,3173,4776,3345
Bacteria,Acidobacteria,Solibacteres,Unclassified,Unclassified,sf_1,6357,60816,AY118153.1,Bacteria;Acidobacteria;Solibacteres;Unclassified;Unclassified;sf_1;6357,anaerobic benzene-degrading clone Cart-N4,2903,2999,2593,3197,2588,3467,3684,3212,3403,2207,4364,4119,3355,3677,2470,4214,2817
Bacteria,Acidobacteria,Solibacteres,Unclassified,Unclassified,sf_1,6367,62412,AF529104.1,Bacteria;Acidobacteria;Solibacteres;Unclassified;Unclassified;sf_1;6367,TCE-contaminated site clone FTL227,2517,3320,2486,3347,2910,3473,3278,2779,3271,2073,4366,4030,3621,4215,2678,4404,3055
Bacteria,Acidobacteria,Solibacteres,Unclassified,Unclassified,sf_1,6426,60585,AF407714.1,Bacteria;Acidobacteria;Solibacteres;Unclassified;Unclassified;sf_1;6426,Great Artesian Basin clone B11,3648,3631,3423,3810,3777,3915,5842,5949,4566,2675,5644,5591,3655,4535,2860,4885,3240
Bacteria,Acidobacteria,Unclassified,Unclassified,Unclassified,sf_1,4222,63236,AF523991.1,Bacteria;Acidobacteria;Unclassified;Unclassified;Unclassified;sf_1;4222,forested wetland clone FW105,3252,3094,2798,3064,3053,3782,4245,4292,3475,2535,4425,4236,3249,3388,2604,4008,2694
Bacteria,Acidobacteria,Unclassified,Unclassified,Unclassified,sf_1,572,63239,AF523986.1,Bacteria;Acidobacteria;Unclassified;Unclassified;Unclassified;sf_1;572,forested wetland clone FW144,2909,2494,2360,2947,2942,3734,3458,3236,2786,2325,3465,3590,3009,2960,2377,3509,2380
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,sf_1,1090,58319,AY140240.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;sf_1;1090,Acidimicrobium sp. str. Y0018,3035,3131,2914,3145,2846,3586,3222,2743,2651,2250,3200,3041,3209,2964,2646,3452,2705
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,sf_1,1360,63301,AF523917.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;sf_1;1360,forested wetland clone RCP2-103,2118,2083,1729,3280,701,2837,3177,2491,2126,2170,2474,2930,2620,2316,2151,2909,2309
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,sf_1,1749,113475,AY913475.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;sf_1;1749,forest soil clone DUNssu275,3338,3663,3087,4455,2343,4415,5752,6264,4635,3419,6600,5874,4313,4571,3416,5379,3505
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,sf_1,1791,84258,AY221045.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;sf_1;1791,Mammoth cave clone CCM13a,1635,2425,1641,2945,1047,2877,3232,4570,3058,2130,3623,3575,2682,2958,2062,3173,2284
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,sf_1,1853,75774,AJ532727.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;sf_1;1853,uranium mining waste pile clone JG34-KF-316,1450,1641,1270,1876,828,2005,2290,1576,1679,1475,1791,1768,1617,1791,1270,2101,1399
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,sf_1,1856,63307,AF523913.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;sf_1;1856,forested wetland clone RCP2-105,1818,1883,1620,2462,1355,3274,2696,3097,2485,2082,2968,3135,2545,2495,2065,2984,2268
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,sf_1,2014,63126,AY093455.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;sf_1;2014,marine sediment clone MB-A2-100,2864,3261,2520,3744,1920,4131,5914,6237,4635,3063,5414,5546,3826,4502,2746,4929,3105
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,sf_1,2030,63305,AF523914.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae;sf_1;2030,forested wetland clone RCP1-33,2469,3433,2191,3656,2354,3682,5166,6105,4481,2870,5574,5444,3667,4387,2609,5101,2891
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Microthrixineae,sf_1,1576,56545,AF454307.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Microthrixineae;sf_1;1576,actinobacterium clone ML817J-10,2738,2557,2365,2704,1947,3451,4078,4196,3221,2231,4324,4081,2985,3361,2200,3912,2615
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Unclassified,sf_1,1217,67031,AJ306762.2,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Unclassified;sf_1;1217,DCP-dechlorinating consortium clone SHA-34,3303,3391,3216,3978,3358,3902,5178,5492,4432,2676,4958,4939,3464,4018,2775,4416,2896
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Unclassified,sf_1,1256,79537,AF382135.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Unclassified;sf_1;1256,bacterioplankton clone ZA3612c,2627,2634,2380,2768,2119,3342,3737,2429,3285,2631,3648,2890,3077,2971,2369,3575,2714
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Unclassified,sf_1,1666,60151,AJ347072.1,Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Unclassified;sf_1;1666,clone TK99,1652,1671,1518,1876,1883,1938,2167,2087,1713,1125,2251,2078,1762,2080,1457,2060,1377
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Acidothermaceae,sf_1,1399,75656,AJ532700.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Acidothermaceae;sf_1;1399,uranium mill tailings clone Gitt-KF-183,2788,2866,2477,3764,1979,3580,4604,4499,3970,2784,4957,4838,3663,3857,2756,4358,2817
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,sf_1,1227,49418,AB062278.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;sf_1;1227,Actinomyces naeslundii,2328,2799,2109,3384,1937,3550,3501,3516,3683,2643,4113,4014,3520,3859,2704,4208,2950
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,sf_1,1672,45427,AJ234041.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;sf_1;1672,Actinomyces odontolyticus str. CCUG 28084,800,2220,1184,2064,643,1852,2318,2035,1920,1312,3564,2820,2165,2395,1521,2579,1799
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,sf_1,1684,78533,AJ428402.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;sf_1;1684,Varibaculum cambriense str. CCUG 44998,2547,2656,2168,2876,2107,3308,4499,4933,3755,2731,4317,4112,2974,3442,2223,3937,2604
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,sf_1,1801,71888,AF487679.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;sf_1;1801,Actinobaculum massiliae str. CIP 107404,2765,3163,2524,2834,2565,3467,5015,5124,4597,2406,5072,5211,3724,4461,2283,4739,2369
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,sf_1,2049,24783,AJ234059.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;sf_1;2049,Arcanobacterium haemolyticum str. CIP 103370,2842,3271,2524,3049,2288,3268,5378,5897,4384,2478,5556,5053,3514,3943,2403,4496,2747
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,sf_1,1125,12979,AF114797.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;sf_1;1125,Actinokineospora diospyrosa str. NRRL B-24047T,490,738,554,807,290,951,776,659,774,589,1044,877,1019,997,794,1005,1024
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,sf_1,1984,12984,AB020031.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;sf_1;1984,Saccharothrix tangerinus str. MK27-91F2,199,490,190,845,121,780,395,656,547,523,1259,960,1187,1061,733,982,1300
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,sf_1,1745,12522,X83813.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;sf_1;1745,Brevibacterium iodinum,2702,3445,2675,3706,2243,3481,5070,5561,4375,2756,5133,4789,3395,3774,2492,4470,3084
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,sf_1,1240,32484,AB078847.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;sf_1;1240,Cellulomonadaceae str. WB9,2737,2951,2265,3356,1836,3527,5829,6256,4381,2485,5556,5481,3476,4187,2395,4674,2784
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,sf_1,1431,39459,AB078838.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;sf_1;1431,Cellulomonadaceae str. W6,3225,3626,2913,3761,2674,3985,7153,7554,5222,2936,6263,6259,3811,4688,2830,5336,3122
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,sf_1,1449,26813,AB078851.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;sf_1;1449,Cellulomonadaceae str. WB13,2541,2711,2078,3310,1625,3352,5340,5882,4058,2326,5194,5247,3298,3906,2305,4368,2679
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,sf_1,1450,24489,AB078824.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;sf_1;1450,Cellulomonadaceae str. K12,3137,3434,2703,3732,2524,3996,6238,6495,4933,3042,5825,5763,3841,4502,2831,5069,3171
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,sf_1,1586,12338,X83800.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;sf_1;1586,Cellulomonas gelida,3113,3515,2722,4004,2062,3829,6240,7076,4822,2951,5573,5609,3594,4216,2845,4920,3174
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,sf_1,1589,12328,X83806.1,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;sf_1;1589,Cellulomonas turbata,3285,3533,2792,3485,2615,3940,7079,7768,5320,3046,6282,6167,3768,4637,2747,5340,3198
